product_id,brand,product_name,old_image,replacement_source,source_page,replacement_image_url,new_cloudinary_image,status,confidence,notes
14,Me-O,Me-O Adult Seafood Dry Cat Food,media/products/product-14-Me-O_ymag7b,Supertails (retailer; official source checked first),https://supertails.com/products/me-o-seafood-adult-dry-cat-food,https://cdn.shopify.com/s/files/1/0565/8021/0861/products/sea2-compressed.jpg?v=1696556784,,SKIPPED,high,Dry-run READY; not applied; awaiting user approval
15,Me-O,Me-O Persian Adult Cat Food,media/products/product-15-Me-O_u7lnir,Supertails (retailer; official source checked first),https://supertails.com/products/me-o-adult-persian-dry-cat-food,https://cdn.shopify.com/s/files/1/0565/8021/0861/files/Frame6-2022-12-30T1636132.png?v=1745304912,,SKIPPED,high,Dry-run READY; not applied; awaiting user approval
16,Me-O,Me-O Kitten Dry Cat Food,media/products/product-16-Me-O_fmzs8y,Research lead (unapproved),https://www.meesho.com/me-o-kitten-dry-cat-food-ocean-fish-11-kg/p/7q0mrp,,,MANUAL_REVIEW,unverified,Product name omits flavour; Ocean Fish and Persian kitten lines found. Cannot infer intended formula.
17,Me-O,Me-O Tuna Chunk in Gravy Wet Cat Food,media/products/product-17-Me-O_trkst8,Supertails (retailer; official source checked first),https://supertails.com/products/me-o-tuna-flavour-chunk-in-gravy-adult-cat-wet-food,,,MANUAL_REVIEW,unverified,Exact Tuna Chunk in Gravy product found; listed image/pack configuration needs individual 80g or audited multipack verification.
18,Royal Canin,Royal Canin Fit 32 Adult Dry Cat Food,media/products/product-18-Royal-Canin_ckl1ml,Official manufacturer CDN,https://www.royalcanin.com/in/cats/products/retail-products/fit-32-2520,https://marspetcareaprimocdn.petcare.global/d00b96be-3063-4140-ac03-b378009a2c3a/d00b96be-3063-4140-ac03-b378009a2c3a_DownloadAsJpg.jpg,,SKIPPED,high,Dry-run READY; not applied; awaiting user approval
19,Royal Canin,Royal Canin Indoor 27 Adult Dry Cat Food,media/products/product-19-Royal-Canin_ach1eg,Official manufacturer CDN,https://www.royalcanin.com/in/cats/products/retail-products/indoor-2529,https://marspetcareaprimocdn.petcare.global/6e85bfb2-2a80-4d09-800d-b3aa00a4ebfc/6e85bfb2-2a80-4d09-800d-b3aa00a4ebfc_DownloadAsJpg.jpg,,SKIPPED,high,Dry-run READY; not applied; awaiting user approval
20,Royal Canin,Royal Canin Persian Adult Dry Cat Food,media/products/product-20-Royal-Canin_xumttl,Official manufacturer CDN,https://www.royalcanin.com/in/cats/products/retail-products/persian-adult-2552,https://marspetcareaprimocdn.petcare.global/07a1fa03-31d3-47e9-94f6-b2490007b362/07a1fa03-31d3-47e9-94f6-b2490007b362_DownloadAsJpg.jpg,,SKIPPED,high,Dry-run READY; not applied; awaiting user approval
21,Royal Canin,Royal Canin Persian Kitten Dry Cat Food,media/products/product-21-Royal-Canin_suuwoj,Official manufacturer CDN,https://www.royalcanin.com/in/cats/products/retail-products/persian-kitten-2554,https://marspetcareaprimocdn.petcare.global/a84324aa-a02f-4f97-a7cd-b2490007b348/a84324aa-a02f-4f97-a7cd-b2490007b348_DownloadAsJpg.jpg,,SKIPPED,high,Dry-run READY; not applied; awaiting user approval
22,Royal Canin,Royal Canin Kitten Dry Cat Food,media/products/product-22-Royal-Canin_os7vej,Official manufacturer CDN,https://www.royalcanin.com/in/cats/products/retail-products/kitten-2522,https://marspetcareaprimocdn.petcare.global/7fb448e7-12fd-442c-a2a5-b3b500f00b71/7fb448e7-12fd-442c-a2a5-b3b500f00b71_DownloadAsJpg.jpg,,SKIPPED,high,Dry-run READY; not applied; awaiting user approval
23,Royal Canin,Royal Canin Hairball Care Adult Dry Cat Food,media/products/product-23-Royal-Canin_gkcizp,Official manufacturer CDN,https://www.royalcanin.com/in/cats/products/retail-products/hairball-care-2534,https://marspetcareaprimocdn.petcare.global/23c87388-76e1-49d0-81e3-b42500c5b199/23c87388-76e1-49d0-81e3-b42500c5b199_DownloadAsJpg.jpg,,SKIPPED,high,Dry-run READY; not applied; awaiting user approval
24,Drools,Drools Adult Ocean Fish Dry Cat Food,media/products/product-24-Drools_oeyia5,Official manufacturer,https://drools.com/cats-dry-food/,https://drools.com/wp-content/uploads/2025/01/AN.png,,SKIPPED,high,Dry-run READY; not applied; awaiting user approval
25,Drools,Drools Adult Chicken Dry Cat Food,media/products/product-25-Drools_g7spuj,Official manufacturer,https://drools.com/cats-dry-food/,https://drools.com/wp-content/uploads/2025/01/AN2.png,,SKIPPED,high,Dry-run READY; not applied; awaiting user approval
26,Drools,Drools Kitten Dry Cat Food,media/products/product-26-Drools_thussi,Research lead (unapproved),https://drools.com/kitten-dry-food/,,,MANUAL_REVIEW,unverified,Official Drools kitten range has Ocean Fish and Real Chicken; audit omits flavour. Need product identity clarification.
27,Purepet,Purepet Adult Ocean Fish Dry Cat Food,media/products/product-27-Purepet_dpkzqp,Supertails (retailer; official source checked first),https://supertails.com/products/purepet-ocean-fish-adult-dry-cat-food,,,MANUAL_REVIEW,unverified,Official listing is generic; current retailer variants have no exact audited size match. Need verified Ocean Fish pack for audited sizes.
28,Purepet,Purepet Adult Tuna Dry Cat Food,media/products/product-28-Purepet_zbkoxa,Research lead (unapproved),https://www.purepet.in/products/purepet-cat-adult.html,,,MANUAL_REVIEW,unverified,"Research surfaced Tuna & Salmon, not a confirmed tuna-only formula. Do not silently change flavour."
29,Purepet,Purepet Kitten Dry Cat Food,media/products/product-29-Purepet_jjpyf4,Research lead (unapproved),https://www.purepet.in/products/purepet-cat-adult.html,,,MANUAL_REVIEW,unverified,Audit omits kitten flavour; exact pack/formula not confirmed by manufacturer listing.
30,Sheba,Sheba Tuna & Snapper Premium Wet Cat Food,media/products/product-30-Sheba_eo8ygl,Official manufacturer,https://www.sheba.in/our-products/wet-cat-food/sheba-complete-nutrition-tuna-white-meat-snapper-gravy-cat-wet-food,"https://www.sheba.in/cdn-cgi/image/format=auto,q=90/sites/g/files/fnmzdf2656/files/2022-08/19334214023929-product-image-1.png",,SKIPPED,high,Dry-run READY; not applied; awaiting user approval
31,Sheba,Sheba Chicken Premium Wet Cat Food,media/products/product-31-Sheba_zyptig,Research lead (unapproved),https://www.sheba.in/our-products/wet-cat-food/sheba-rich-premium-adult-1-year-fine-wet-cat-food-chicken-loaf-24-x-70g,,,MANUAL_REVIEW,unverified,"Sheba chicken has loaf, succulent breast/gravy and combination recipes. Audit lacks format; do not pick one by guess."
32,Pedigree,Pedigree Adult Chicken & Vegetables Dry Dog Food,media/products/product-32-aee30f96c1b5_zphjyt,Supertails (retailer; official source checked first),https://supertails.com/products/pedigree-chicken-vegetables-adult-dry-dog-food,https://cdn.shopify.com/s/files/1/0565/8021/0861/files/1_55.jpg?v=1768959065,,SKIPPED,high,Dry-run READY; not applied; awaiting user approval
33,Pedigree,Pedigree Adult Meat & Rice Dry Dog Food,media/products/product-33-Pedigree_fnnuaq,Supertails (retailer; official source checked first),https://supertails.com/products/pedigree-meat-rice-adult-dry-dog-food,https://cdn.shopify.com/s/files/1/0565/8021/0861/files/1_62.jpg?v=1767955848,,SKIPPED,high,Dry-run READY; not applied; awaiting user approval
34,Pedigree,Pedigree Puppy Chicken & Milk Dry Dog Food,media/products/product-34-Pedigree_ti1xwc,Research lead (unapproved),https://www.apollopharmacy.in/otc/pedigree-puppy-chicken-and-milk-1kg,,,MANUAL_REVIEW,unverified,Current retailer packaging uses 1kg/2.8kg variants; audited 1.2kg/3kg/10kg pack image not visually verified.
35,Pedigree,Pedigree Chicken & Liver Chunks in Gravy Wet Dog Food,media/products/product-35-Pedigree_mrbez5,Research lead (unapproved),https://www.pets-lifestyle.com/products/pedigree-chicken-and-liver-chunks-in-gravy-adult-dog-wet-food-130g,,,MANUAL_REVIEW,unverified,Current retailer result is 130g; audit needs 70g/840g. Apollo 70g listing is a lead but image not yet verified.
36,Pedigree,Pedigree Puppy Chicken & Liver Wet Dog Food,media/products/product-36-Pedigree_gh1pfg,Supertails (retailer; official source checked first),https://supertails.com/products/pedigree-chicken-liver-chunks-in-gravy-puppy-wet-dog-food,,,MANUAL_REVIEW,unverified,"Exact puppy Chicken & Liver product found, but no direct audited-size match in current retailer metadata. Need 70g clean front pack."
37,Drools,Drools Adult Chicken & Egg Dry Dog Food,media/products/product-37-ad9257bcf688_klylz1,Supertails (retailer; official source checked first),https://supertails.com/products/drools-chicken-and-egg-adult-dog-food,https://cdn.shopify.com/s/files/1/0565/8021/0861/files/20003577_11.png?v=1781082880,,MANUAL_REVIEW,unverified,"Exact product/size located, but downloaded image has an added flavour/size text panel beside the pack. Rejected under no-promotional-overlays rule; need a clean pack-only source."
38,Drools,Drools Puppy Chicken & Egg Dry Dog Food,media/products/product-38-Drools_aocjje,Supertails (retailer; official source checked first),https://supertails.com/products/drools-chicken-and-egg-puppy-dog-food,,,MANUAL_REVIEW,unverified,Retailer maps audited sizes to a file labelled Puppy Chicken & Egg 2.8kg. Audited sizes are 1.2kg/3kg/10kg; not approved.
39,Drools,Drools Focus Adult Super Premium Dog Food,media/products/product-39-Drools_ws4wmm,Official manufacturer,https://drools.com/dogs-dry-food-focus/,https://drools.com/wp-content/uploads/2024/10/Frame-220.png,,SKIPPED,high,Dry-run READY; not applied; awaiting user approval
40,Drools,Drools Focus Puppy Super Premium Dog Food,media/products/product-40-Drools_ddydfw,Official manufacturer,https://drools.com/dogs-dry-food-focus/,https://drools.com/wp-content/uploads/2024/10/Frame-221.png,,SKIPPED,high,Dry-run READY; not applied; awaiting user approval
41,Drools,Drools Labrador Adult Dry Dog Food,media/products/product-41-Drools_alb9lm,Research lead (unapproved),https://www.petoly.in/products/drools-labrador-adult-premium-dog-food,,,MANUAL_REVIEW,unverified,"Exact historical Drools Labrador Adult listing found at Petoly, but a genuine current pack and audited 3kg/12kg sizes are unverified."
42,Royal Canin,Royal Canin Mini Adult Dry Dog Food,media/products/product-42-Royal-Canin_f44jil,Official manufacturer CDN,https://www.royalcanin.com/in/dogs/products/retail-products/mini-adult-3001,https://marspetcareaprimocdn.petcare.global/331b6ad0-c5c3-4313-960f-b2490007ff07/331b6ad0-c5c3-4313-960f-b2490007ff07_DownloadAsJpg.jpg,,SKIPPED,high,Dry-run READY; not applied; awaiting user approval
43,Royal Canin,Royal Canin Medium Adult Dry Dog Food,media/products/product-43-Royal-Canin_ex0vvp,Official manufacturer CDN,https://www.royalcanin.com/in/dogs/products/retail-products/shn--3004,https://marspetcareaprimocdn.petcare.global/76cf8eab-1e88-4da0-94ca-b2490007fef5/76cf8eab-1e88-4da0-94ca-b2490007fef5_DownloadAsJpg.jpg,,SKIPPED,high,Dry-run READY; not applied; awaiting user approval
44,Royal Canin,Royal Canin Maxi Adult Dry Dog Food,media/products/product-44-Royal-Canin_iotork,Official manufacturer CDN,https://www.royalcanin.com/in/dogs/products/retail-products/maxi-adult-3007,https://cdn.royalcanin-weshare-online.io/mmkTrmsBG95Xk-RBo_sp/v306/packshot-maxi-ad-shn17,,SKIPPED,high,Dry-run READY; not applied; awaiting user approval
45,Royal Canin,Royal Canin Mini Puppy Dry Dog Food,media/products/product-45-Royal-Canin_zd9zw0,Research lead (unapproved),https://www.royalcanin.com/my/dogs/products/retail-products/mini-puppy-3000,,,MANUAL_REVIEW,unverified,Search returned Mini Puppy wet-food and international dry-food listings; no visually reviewed Indian dry pack selected.
46,Royal Canin,Royal Canin Medium Puppy Dry Dog Food,media/products/product-46-Royal-Canin_iiqf3j,Official manufacturer CDN,https://www.royalcanin.com/in/dogs/products/retail-products/medium-puppy-3003,https://marspetcareaprimocdn.petcare.global/585a5b9b-1f2f-4387-9548-b1ef001325af/585a5b9b-1f2f-4387-9548-b1ef001325af_DownloadAsJpg.jpg,,SKIPPED,high,Dry-run READY; not applied; awaiting user approval
47,Purepet,Purepet Adult Chicken & Vegetable Dry Dog Food,media/products/product-47-4291543d890e_ybvcjh,Supertails (retailer; official source checked first),https://supertails.com/products/purepet-chicken-vegetable-adult-dog-food,https://cdn.shopify.com/s/files/1/0565/8021/0861/files/PurepetChicken_VegAdultDogFood_1kg.png?v=1699449798,,MANUAL_REVIEW,unverified,"Exact product/size located, but downloaded image has an added flavour/size text panel beside the pack. Rejected under no-promotional-overlays rule; need a clean pack-only source."
48,Purepet,Purepet Puppy Chicken & Milk Dry Dog Food,media/products/product-48-Purepet_tetwyt,Research lead (unapproved),https://www.purepet.in/products/purepet-puppy.html,,,MANUAL_REVIEW,unverified,Official Purepet puppy ingredient description lists chicken/vegetables; audited Chicken & Milk formula needs confirmation.
49,Purepet,Purepet Adult Meat & Rice Dry Dog Food,media/products/product-49-Purepet_oxwpkc,Supertails (retailer; official source checked first),https://supertails.com/products/purepet-meat-and-rice-adult-dry-dog-food,https://cdn.shopify.com/s/files/1/0565/8021/0861/files/Frame1984097054_2ef87c66-1db5-4b91-a918-f53a3005d9a5.png?v=1786964724,,SKIPPED,high,Dry-run READY; not applied; awaiting user approval
50,SmartHeart,SmartHeart Adult Chicken & Egg Dry Dog Food,media/products/product-50-SmartHeart_fe9iab,Supertails (retailer; official source checked first),https://supertails.com/products/smartheart-chicken-egg-adult-dry-dog-food,,,MANUAL_REVIEW,unverified,Retailer uses 1.5kg-labelled image for audited 1kg/3kg/10kg; not approved without correct pack evidence.
51,SmartHeart,SmartHeart Puppy Chicken & Milk Dry Dog Food,media/products/product-51-SmartHeart_et7dws,Research lead (unapproved),https://shop.petsfirst.care/products/smartheart-chicken-with-egg-milk-puppy-dry-food,,,MANUAL_REVIEW,unverified,"Research finds Chicken, Egg & Milk puppy formula; audit says Chicken & Milk. Need exact SKU/pack confirmation."
53,Farmina,Farmina N&D Chicken & Pomegranate Puppy Dog Food,media/products/product-53-Farmina_ozdi9o,Research lead (unapproved),https://www.farmina.com/in/eshop/dog-food/n%26d-ancestral-grain-canine/106-chicken-%26-pomegranate-puppy-mini.html,,,MANUAL_REVIEW,unverified,Farmina has ancestral grain/pumpkin and mini/medium-maxi/starter options. Audited title omits these distinctions.
54,Farmina,Farmina Matisse Premium Adult Dog Food,media/products/product-54-Farmina_cbuwgq,Research lead (unapproved),https://www.farmina.com/in/farmina/4865-matisse.html,,,MANUAL_REVIEW,unverified,"Manufacturer Matisse is a cat-food range, while audited product is named Adult Dog Food. Cannot choose a cat pack."
55,Hill's,Hill's Science Diet Adult Small & Mini Dog Food,media/products/product-55-Hill-s_qgjg8b,Research lead (unapproved),https://checkout.shop.hillspet.com/products/adult-small-mini-dog-food,,,MANUAL_REVIEW,unverified,Science Diet Adult Small & Mini has multiple flavours and age-specific products; audited title does not identify recipe.
56,Hill's,Hill's Science Diet Puppy Small & Mini Dog Food,media/products/product-56-Hill-s_y6gi4c,Research lead (unapproved),https://www.hillspet.com/dog-food/science-diet-puppy-small-paws-breed-dry,,,MANUAL_REVIEW,unverified,Official chicken/brown-rice puppy pack found internationally; audited Indian sizes and intended formula unconfirmed.
57,IAMS,IAMS Proactive Health Adult Chicken Dry Dog Food,media/products/product-57-IAMS_tgkibc,Research lead (unapproved),https://www.iams-india.com/dog/dog-food/adult-dog,,,MANUAL_REVIEW,unverified,IAMS India offers breed-size-specific adult recipes; audit omits breed-size/formula distinction.
58,IAMS,IAMS Proactive Health Puppy Chicken Dry Dog Food,media/products/product-58-IAMS_ech40r,Research lead (unapproved),https://www.iams.com/products/dry/iams-puppy,,,MANUAL_REVIEW,unverified,"IAMS India puppy small/medium, large and mother/baby options differ; audit does not specify intended recipe."
59,Kennel Kitchen,Kennel Kitchen Chicken & Rice Adult Dry Dog Food,media/products/product-59-Kennel-Kitchen_j096i0,Research lead (unapproved),https://kennelkitchen.com/products/adult-chicken-dry-food,,,MANUAL_REVIEW,unverified,Kennel Kitchen Adult Chicken Dry Food found; exact Chicken & Rice formula and audited 1kg/3kg/10kg pack identity need confirmation.
60,Kennel Kitchen,Kennel Kitchen Chicken & Rice Puppy Dry Dog Food,media/products/product-60-Kennel-Kitchen_in9qy1,Research lead (unapproved),https://kennelkitchen.com/collections/dog-food,,,MANUAL_REVIEW,unverified,No exact Puppy Chicken & Rice dry pack verified in official current range; adult pack must not be substituted.
61,Bows & Meows,Bows & Meows Chicken Training Treats for Dogs,media/products/product-61-Bows-Meows_eqffjj,Research lead (unapproved),https://bowmeos.com/,,,MANUAL_REVIEW,unverified,Own-brand Chicken Training Treats have no verified official pack photograph. User/supplier must supply the original photograph.
7078,Let's Bite,Let's Bite Active Adult Chicken and Vegetable Dry Food for Dogs,media/products/product-7078-Let-s-Bite_chfi6x,Supertails (retailer; official source checked first),https://supertails.com/products/lets-bite-active-adult-chicken-and-vegetable-dry-food-for-dogs,,,MANUAL_REVIEW,unverified,"Exact 20kg retailer page found, but product metadata endpoint did not return usable JSON. Image not verified."
7364,M Pets,M Pets Lines Collar for Cats (Red),media/products/product-7364-M-Pets_d9uixw,Research lead (unapproved),https://m-pets.com/products/lines-cat-collar,,,MANUAL_REVIEW,unverified,Official Lines Collar page found but colour image shows multiple options; exact red 20-30cm product image needs verification.
7594,Petstar,Mankind Petstar Ocean Fish Flavour Adult Cat Dry Food,media/products/product-7594-Petstar_mmh8e2,Research lead (unapproved),https://www.mankindpharma.com/media/press-release/mankind-pharma-expands-petstar-portfolio-with-launch-of-petstar-delight-cat-food-range/,,,MANUAL_REVIEW,unverified,Audit title says dry food while supplier URL says wet food; manufacturer now has PetStar Delight lines. Need exact SKU proof.
8418,Nutrience,"Nutrience Chicken, Liver and Duck Freeze Dried Cat Treat",media/products/product-8418-Nutrience_zncgo4,Official manufacturer,https://nutrience.com/products/chicken-chicken-liver-duck/,https://nutrience.com/wp-content/uploads/2025/07/C2980-Cat-SZ-Multi-Protein-Treats-Chicken-30g-EN1.png,,SKIPPED,high,Dry-run READY; not applied; awaiting user approval
8424,Nutrience,Nutrience Subzero Grain Free Lamb Liver Flavoured Freeze Dried Dog Treats,media/products/product-8424-Nutrience_dz3mf0,Official manufacturer,https://nutrience.com/products/freeze-dried-lamb-liver/,https://nutrience.com/wp-content/uploads/2025/07/D6525-Dog-SZ-Single-Protein-Treats-Lamb-90g-EN1.png,,SKIPPED,high,Dry-run READY; not applied; awaiting user approval
9544,Pedigree,Pedigree Chicken and Vegetables Adult Dog Dry Food (Limited Stocks),media/products/product-9544-Pedigree_lbu8im,Research lead (unapproved),https://www.pedigree.com/products/dry/adult-dry-dog-food-roasted-chicken-vegetable,,,MANUAL_REVIEW,unverified,Need exact 370g clean pack for limited-stock product; other standard adult sizes cannot stand in for it.
13643,Those Woof Guys,Those Woof Guys Lamb Orghini Home Meal for Dogs,media/products/product-13643-Those-Woof-Guys_e4oh0e,Research lead (unapproved),https://supertails.com/products/those-woof-guys-lamb-orghini-home-meal-for-dogs,,,MANUAL_REVIEW,unverified,Exact Lamb Orghini retailer page lists audited sizes but no variant image reference; official current page was not an exact lamb pack. Needs pack photo verification.
